Precinct,State,White Population %,Hispanic/Latino Population %,African American Population %,Asian Population %,Other Race Population %,Democratic Votes,Republican Votes,Average Income
1,Mississippi,6.887713196227352,22.890650103091808,0.8844435828176582,50.35842064413861,18.978772473724575,83,67,46408.96
2,Mississippi,35.85478365285953,48.919014725178315,6.481655242771359,7.090033166688726,1.6545132125020814,501,241,48368.42
3,Mississippi,49.647750477415485,27.5206527433771,7.868667240140074,5.5835642000613666,9.379365339005986,200,247,59159.87
4,Mississippi,91.67891333225326,3.506061913316876,0.2500675353939903,2.5701212237982807,1.9948359952375938,26,886,30173.53
5,Mississippi,35.19941135992492,7.696822043768419,6.163100805470173,49.92141106355825,1.0192547272782235,61,162,51824.34
6,Mississippi,19.078080542887342,62.146970766886945,16.283298385518616,2.4906591852533566,0.0009911194537437495,614,62,39104.66
7,Mississippi,36.62752581257581,7.905397622366359,47.26751720953613,0.0744130552067689,8.125146300314924,187,275,46308.02
8,Mississippi,11.540941941370397,68.89466351842799,2.531917015789769,4.577281569751421,12.455195954660425,234,93,39546.13
9,Mississippi,70.41392238119755,25.688974969191605,0.22032237617996175,1.1794719439887698,2.497308329442106,258,269,59331.74
10,Mississippi,2.577032323883588,15.940139144247677,4.199332569738337,38.04661397304329,39.2368819890871,137,11,38429.6
11,Mississippi,89.99330456715231,0.27836422670108096,3.2174658121785877,3.454268934946367,3.056596459021648,26,392,48616.6
12,Mississippi,9.72885637708215,31.5163679442011,25.941392306361042,15.825080022815941,16.988303349539763,395,53,37078.5
13,Mississippi,11.07688917034918,70.45539500180541,17.43025138054731,0.35974146359469045,0.6777229837034184,441,80,35317.59
14,Mississippi,65.08197505308429,4.977207672934734,16.478737023449153,2.979588352576669,10.482491897955143,135,372,51240.76
15,Mississippi,67.31079772437982,19.73482699429683,2.7699791413130823,2.488220129082439,7.696176010927815,89,500,50044.32
16,Mississippi,79.15235199193809,15.414688203402418,2.4663535585446033,0.3320381652913293,2.63456808082357,74,502,43603.41
17,Mississippi,54.58776309981113,25.98624497253708,2.750149750702111,10.235232583484919,6.440609593464771,199,341,61455.34
18,Mississippi,85.66162172968635,10.425248601600668,1.5632253011288704,1.6030265648414335,0.7468778027426879,61,483,42794.93
19,Mississippi,36.55852035211882,24.690388480134622,31.40351741006675,4.889543871744776,2.4580298859350336,271,301,44259.57
20,Mississippi,58.70900406985699,27.346459965566474,10.183611485619366,1.2542861205948284,2.506638358362352,298,497,51031.8
21,Mississippi,42.82682890101018,20.192881635514546,0.8294525334193968,16.60423522370328,19.54660170635259,94,141,48982.38
22,Mississippi,14.51361161649941,18.629701245520746,15.155276486545937,25.596883671289607,26.1045269801443,183,104,43341.18
23,Mississippi,67.43318063796261,10.774154709881033,18.475688200266845,0.9618391144303228,2.3551373374591975,223,231,58095.91
24,Mississippi,87.67963523120808,10.106064093009458,1.604147858264467,0.48001301409265734,0.1301398034253225,94,677,59319.58
25,Mississippi,71.20093086436732,23.467818591629218,3.3107879579191906,1.0812483100398298,0.9392142760444528,145,442,30667.82
26,Mississippi,37.364514035912165,12.632195412627366,36.52990946074384,0.3183871591321248,13.1549939315845,270,356,41164.92
27,Mississippi,99.32691809315124,0.09671421423101242,0.3056825676863002,0.01105751209354043,0.25962761283790314,3,988,38163.82
28,Mississippi,74.59289606323495,24.155888170239905,0.05781246296409845,0.255205129907648,0.9381981736534044,126,231,54607.71
29,Mississippi,79.5938354420133,2.4424429767473996,8.2017272925849,1.6826262082751606,8.079368080379226,46,502,49900.52
30,Mississippi,72.89831306178414,24.06213912253347,2.0386643073043156,0.8843208664827275,0.11656264189535648,203,299,39552.15
31,Mississippi,24.146508458608118,11.18131193248684,0.7135148910352037,22.726999692047052,41.231665025822785,47,170,51764.86
32,Mississippi,82.01255370440406,11.76301404057813,1.552165978066293,0.7883875187604324,3.883878758191088,87,765,21088.14
33,Mississippi,9.459918736182116,8.524335574157469,48.29079829586443,13.551483280748029,20.173464113047956,355,46,30565.17
